n	question	command	r2cmd	explanation
15	Is there a way to output the modules of a process as JSON?	output modules as JSON	To output the modules of a process as JSON, use the `dmmj` command.	dmmj
16	How do I convert the module list to a JSON format?	convert module list to JSON	The `dmmj` command converts the module list to a JSON format.	dmmj
17	Which command can I use to get a detailed list of modules in JSON for scripting?	get detailed JSON list of modules	The `dmmj` command provides a detailed list of modules in JSON format suitable for scripting.	dmmj
18	Can I see the module list in a format that's easy to parse programmatically?	see module list in parseable format	To see the module list in an easy-to-parse format, use the `dmmj` command for JSON output.	dmmj
19	How do I get an overview of the modules with radare2 specific commands?	overview of modules with r2 commands	The `dmm*` command gives an overview of the modules using radare2 specific commands.	dmm*
20	Is there a command to see the memory map of the module I'm currently examining?	see memory map of current module	To see the memory map of the module you are currently examining, use the `dmm.` command.	dmm.
21	How can I access the modules of the target process in JSON format?	access modules in JSON format	The `dmmj` command allows you to access the modules of the target process in JSON format.	dmmj
22	What command should I use to list all modules with additional radare2 features?	list modules with additional r2 features	Use the `dmm*` command to list all modules with additional radare2 features.	dmm*
23	How do I find out the memory map of the module I'm currently working on?	find memory map of current module	To find out the memory map of the module you are currently working on, use the `dmm.` command.	dmm.
24	Is there a command to list the modules of the target process in a JSON format for easier data handling?	list modules in JSON for data handling	The `dmmj` command lists the modules of the target process in a JSON format for easier data handling.	dmmj
25	How can I display the modules of a process using radare2's internal commands?	display modules with internal r2 commands	The `dmm*` command displays the modules of a process using radare2's internal commands.	dmm*
26	What is the command to view the memory map of the module I'm currently analyzing?	view memory map of analyzed module	The `dmm.` command allows you to view the memory map of the module you're currently analyzing.	dmm.
27	How do I list the modules of the target process using radare2 commands?	list modules using r2 commands	To list the modules of the target process using radare2 commands, use the `dmm*` command.	dmm*
28	Can I list the modules of the current process in a format that's easy to parse?	list modules in easy to parse format	The `dmmj` command lists the modules in a JSON format, which is easy to parse programmatically.	dmmj
29	What command should I use to get a JSON representation of the modules in the target process?	get JSON representation of modules	The `dmmj` command provides a JSON representation of the modules in the target process.	dmmj
30	How can I see the modules of the target process using radare2's extended command features?	see modules with extended r2 features	The `dmm*` command allows you to see the modules of the target process using radare2's extended command features.	dmm*
31	Is there a command to list the modules of the target process with JSON output?	list modules with JSON output	The `dmmj` command lists the modules of the target process with JSON output.	dmmj
32	How do I retrieve the memory map of the module I'm currently examining?	retrieve memory map of current module	To retrieve the memory map of the module you are currently examining, use the `dmm.` command.	dmm.
33	What command lists the modules of the target process using radare2's internal command set?	list modules using internal r2 command set	Use the `dmm*` command to list the modules of the target process using radare2's internal command set.	dmm*
34	How can I see the modules of the target process in a JSON format?	see modules in JSON format	The `dmmj` command allows you to see the modules of the target process in a JSON format.	dmmj
35	How do I list the modules of the target process with radare2's command extensions?	list modules with r2 command extensions	The `dmm*` command lists the modules of the target process with radare2's command extensions.	dmm*
36	What command can I use to see the memory map of the module I'm currently focused on?	see memory map of focused module	To see the memory map of the module you are currently focused on, use the `dmm.` command.	dmm.
37	Is there a way to list the modules of the target process with JSON output for scripting purposes?	list modules with JSON for scripting	The `dmmj` command lists the modules with JSON output, which is suitable for scripting purposes.	dmmj
38	How can I obtain the memory map of the module I am currently analyzing?	obtain memory map of current module	To obtain the memory map of the module you are currently analyzing, use the `dmm.` command.	dmm.
39	How can I list the modules of the process I'm examining using radare2's extended features?	list modules with extended r2 features	The `dmm*` command lists the modules of the process using radare2's extended features.	dmm*
40	What command should I use to see the modules of the target process in an easy-to-parse format?	see modules in easy-to-parse format	The `dmmj` command provides a JSON format of the modules, making it easy to parse.	dmmj
1	How can I change the permissions of a memory page at address 0x1000 with size 0x200 to read-only?	change memory page permissions at address 0x1000 to read-only	You can change the permissions of a specific memory page by specifying the address, size, and desired permissions. Here, 'r--' represents read-only permissions.	dmp 0x1000 0x200 r--
2	What command should I use to make a memory region at 0x2000 writable?	make memory region at 0x2000 writable	To change the permissions of a memory region to writable, specify the address and the new permissions 'rw-'.	dmp 0x2000 rw-
3	Is there a way to modify the permissions of a memory block to executable?	modify memory block permissions to executable	To change a memory block's permissions to executable, provide the address and the 'r-x' permissions.	dmp 0x3000 r-x
4	How do I set the permissions of a memory page to none?	set memory page permissions to none	You can set a memory page's permissions to none by specifying the address and '---' for permissions.	dmp 0x4000 ---
